product_id,product_name,category,colors,unit_cost,selling_price,lead_time_days
P0001,バミューダパンツ,ボトムス,"カーキ,ネイビー,グレー,ベージュ",2858,10364,43
P0002,ジョガーパンツ,ボトムス,"ブラック,ネイビー,カーキ,ベージュ",2669,13563,33
P0003,フランネルシャツ,トップス,"ライトブルー,ベージュ,ブラック",2828,6114,21
P0004,ミニスカート,ボトムス,"カーキ,グレー",3096,7276,27
P0005,マフラー,小物,"ベージュ,ブラック,ブラウン,ネイビー",2379,5343,22
P0006,クルーネックスウェット,トップス,"ブラック,ベージュ",3707,8490,27
P0007,ピーコート,アウター,"カーキ,グレー,ブラック,ブラウン",13348,42867,32
P0008,スタンダードダウンジャケット,アウター,"ブラック,ネイビー",15280,35802,55
P0009,オックスフォードシャツ,トップス,"グレー,ベージュ,ホワイト,ブラック",3063,8566,28
P0010,レザートートバッグ,小物,"ベージュ,ネイビー,ブラック,ブラウン",2699,6490,24
P0011,レザーベルト,小物,"ベージュ,ブラウン",1147,6010,14
P0012,ショートパンツ,ボトムス,"カーキ,ネイビー,ベージュ,ブラック",5565,13691,30
P0013,ワイドデニムパンツ,ボトムス,"ベージュ,ネイビー,ブラック,グレー",5123,11569,38
P0014,フレアスカート,ボトムス,"ブラック,カーキ,ネイビー,ベージュ",2458,11937,30
P0015,テーパードスラックス,ボトムス,"ブラック,ネイビー",5596,13515,23
P0016,レザートートバッグ（別モデル）,小物,"ネイビー,ブラック",2681,5877,18
P0017,カーゴパンツ（別モデル）,ボトムス,"グレー,ネイビー,ベージュ,カーキ",5950,12767,38
P0018,フリースジャケット,アウター,"ネイビー,グレー,ブラウン,カーキ",12177,41313,44
P0019,ブルゾン,アウター,"ネイビー,ブラウン",6049,37146,30
P0020,デニムジャケット,アウター,"ブラウン,ネイビー,グレー,ブラック",5117,19642,52
P0021,マウンテンパーカー（別モデル）,アウター,"ブラック,ネイビー,ブラウン,グレー",19084,43581,32
P0022,キャンバスエコバッグ,小物,"ブラウン,ネイビー,ベージュ,ブラック",2708,5957,29
P0023,テーパードスラックス（別モデル）,ボトムス,"グレー,ベージュ",2779,7535,24
P0024,ロングスリーブTシャツ,トップス,"グレー,ネイビー,ライトブルー,ブラック",3412,9810,15
P0025,フーディースウェット,トップス,"ライトブルー,ホワイト,ベージュ,ブラック",2889,6673,21
P0026,プリーツスカート,ボトムス,"ネイビー,グレー",2574,12902,26
P0027,ロングスリーブTシャツ（別モデル）,トップス,"グレー,ブラック,ホワイト",3315,9939,17
P0028,モックネックTシャツ,トップス,"ライトブルー,ベージュ",1560,4754,21
P0029,リネンシャツ,トップス,"グレー,ライトブルー",3471,7817,26
P0030,フーディースウェット（別モデル）,トップス,"ブラック,グレー",1508,7188,22
P0031,ボーダーカットソー,トップス,"ネイビー,グレー,ベージュ",2134,5823,23
P0032,ニットプルオーバー,トップス,"ホワイト,ベージュ",3720,7689,24
P0033,ニット帽,小物,"ブラック,ベージュ",2452,6963,30
P0034,ポロシャツ,トップス,"ホワイト,ベージュ",1828,5512,16
P0035,タートルネックニット,トップス,"ホワイト,ブラック,グレー,ライトブルー",3833,8674,15
P0036,コットンソックス（3足セット）,小物,"ブラック,ブラウン,ベージュ,ネイビー",1336,5245,21
P0037,タイトスカート,ボトムス,"グレー,ネイビー,カーキ",4643,11743,35
P0038,トレンチコート,アウター,"ブラック,ブラウン,ネイビー",15177,48802,33
P0039,ケーブルニット,トップス,"ベージュ,ブラック",3572,8230,18
P0040,ベーシックTシャツ,トップス,"ホワイト,ブラック,ネイビー",2667,6626,28
P0041,カーゴパンツ,ボトムス,"カーキ,ブラック,ベージュ,ネイビー",5816,14349,24
P0042,キャップ,小物,"ベージュ,ブラック",938,6522,18
P0043,マウンテンパーカー,アウター,"グレー,ネイビー,ブラウン",10617,27905,51
P0044,スリムチノパン,ボトムス,"カーキ,グレー,ネイビー,ブラック",2378,12929,29
P0045,チェスターコート,アウター,"ブラック,グレー",17634,37411,50
P0046,ナイロンショルダーバッグ,小物,"ブラウン,ベージュ,ネイビー",2759,7269,14
P0047,ケーブルニット（別モデル）,トップス,"ホワイト,ブラック",3734,7615,25
P0048,ベーシックTシャツ（別モデル）,トップス,"ベージュ,ブラック,グレー,ホワイト",1671,6515,25
P0049,タートルネックニット（別モデル）,トップス,"ネイビー,ブラック",2522,5886,25
P0050,ヘンリーネックシャツ,トップス,"グレー,ベージュ,ブラック,ホワイト",2165,5780,27
